 0_0
-----------------------------------------------------------------------
 Push step   Relax step   Lanczos step   Potential energy   Eigenvalue
-----------------------------------------------------------------------
         0            0              0       -1979.417114   ----------
         1            0             16       -1979.390869     0.811549
         1            1             16       -1979.396729     0.811549
         2            0              4       -1979.329224     0.851820
         2            1              4       -1979.331543     0.851820
         3            0              6       -1979.209961     0.752395
         3            1              6       -1979.215332     0.752395
         4            0              3       -1979.037476     0.804373
         4            1              3       -1979.045288     0.804373
         5            0             14       -1978.805664     0.472879
         5            1             14       -1978.895874     0.472879
         6            0              6       -1978.630737     0.610058
         6            1              6       -1978.700195     0.610058
         7            0              7       -1978.381714     0.312168
         7            1              7       -1978.431763     0.312168
         8            0              6       -1978.049194     0.497335
         8            1              6       -1978.064087     0.497335
         9            0              5       -1977.602783     0.334481
         9            1              5       -1977.614380     0.334481
        10            0             10       -1977.064453     0.291554
        10            1             10       -1977.076538     0.291554
        11            0             22       -1976.427368     0.034207
        11            1             22       -1976.445068     0.034207
        12            0              9       -1976.432983    -0.349096
        12            1              9       -1976.937744    -0.349096
        13            0             16       -1976.878296    -0.127091
        14            0              7       -1976.815308    -0.399793
        15            0              4       -1976.752808    -0.395719
        15            1              4       -1977.320557    -0.395719
        15            2              4       -1977.752686    -0.395719
        15            3              4       -1978.088379    -0.395719
        15            4              4       -1978.353760    -0.395719
        15            5              4       -1978.563965    -0.395719
        15            6              4       -1978.727539    -0.395719
        15            7              4       -1978.852295    -0.395719
        15            8              4       -1978.947021    -0.395719
        15            9              4       -1979.018188    -0.395719
        16            0              7       -1978.958252    -0.461264
        16            1              7       -1979.008179    -0.461264
        17            0              6       -1978.955566    -0.640147
        17            1              6       -1978.991821    -0.640147
        17            2              6       -1979.009033    -0.640147
        17            3              6       -1979.027100    -0.640147
        18            0              6       -1978.981201    -0.437412
        18            1              6       -1978.986084    -0.437412
        19            0              6       -1978.946167    -0.456812
        20            0              8       -1978.913696    -0.343728
        20            1              8       -1978.923218    -0.343728
        20            2              8       -1978.932739    -0.343728
        20            3              8       -1978.942871    -0.343728
        20            4              8       -1978.951050    -0.343728
        20            5              8       -1978.957031    -0.343728
        20            6              8       -1978.960938    -0.343728
        21            0              6       -1978.931763    -0.434639
        22            0              7       -1978.906128    -0.234953
        22            1              7       -1978.908203    -0.234953
        22            2              7       -1978.911011    -0.234953
        22            3              7       -1978.913818    -0.234953
        22            4              7       -1978.916626    -0.234953
        22            5              7       -1978.919189    -0.234953
        23            0              9       -1978.901367    -0.264774
        23            1              9       -1978.903442    -0.264774
        23            2              9       -1978.906494    -0.264774
        23            3              9       -1978.909912    -0.264774
        23            4              9       -1978.912842    -0.264774
        23            5              9       -1978.915283    -0.264774
        23            6              9       -1978.917114    -0.264774
        23            7              9       -1978.918701    -0.264774
