 4_0
-----------------------------------------------------------------------
 Push step   Relax step   Lanczos step   Potential energy   Eigenvalue
-----------------------------------------------------------------------
         0            0              0       -1979.443718   ----------
         1            0             21       -1979.406407     1.021170
         1            1             21       -1979.415523     1.021170
         2            0              3       -1979.319931     1.106947
         2            1              3       -1979.322608     1.106947
         3            0              5       -1979.144955     1.236065
         3            1              5       -1979.152829     1.236065
         4            0              3       -1978.892398     1.297740
         4            1              3       -1978.904676     1.297740
         5            0             10       -1978.549866     0.968631
         5            1             10       -1978.639061     0.968631
         6            0              5       -1978.222704     0.934959
         6            1              5       -1978.342255     0.934959
         7            0              3       -1977.847154     0.922404
         7            1              3       -1977.889774     0.922404
         8            0              9       -1977.299592     0.762801
         8            1              9       -1977.324697     0.762801
         9            0             11       -1976.629293     0.345920
         9            1             11       -1976.653475     0.345920
        10            0              7       -1976.601018    -0.573852
        11            0              6       -1976.501691    -1.471223
        12            0              4       -1976.397393    -1.846038
        13            0              4       -1976.290416    -1.635332
        13            1              4       -1977.011131    -1.635332
        13            2              4       -1977.564448    -1.635332
        13            3              4       -1977.987136    -1.635332
        13            4              4       -1978.308219    -1.635332
        13            5              4       -1978.552144    -1.635332
        13            6              4       -1978.737420    -1.635332
        13            7              4       -1978.877298    -1.635332
        13            8              4       -1978.981609    -1.635332
        13            9              4       -1979.057679    -1.635332
        13           10              4       -1979.111912    -1.635332
        14            0             10       -1979.102009    -0.541977
        14            1             10       -1979.161593    -0.541977
        14            2             10       -1979.184933    -0.541977
        14            3             10       -1979.223825    -0.541977
        14            4             10       -1979.239993    -0.541977
        14            5             10       -1979.249762    -0.541977
        14            6             10       -1979.254030    -0.541977
        14            7             10       -1979.256070    -0.541977
        14            8             10       -1979.257258    -0.541977
        14            9             10       -1979.258047    -0.541977
        14           10             10       -1979.258644    -0.541977
        14           11             10       -1979.259124    -0.541977
        14           12             10       -1979.259520    -0.541977
        14           13             10       -1979.259856    -0.541977
        14           14             10       -1979.260140    -0.541977
        14           15             10       -1979.260386    -0.541977
        14           16             10       -1979.260596    -0.541977
        14           17             10       -1979.260781    -0.541977
        14           18             10       -1979.260939    -0.541977
        14           19             10       -1979.261080    -0.541977
        14           20             10       -1979.261202    -0.541977
        14           21             10       -1979.261310    -0.541977
        15            0              5       -1979.260555    -1.788226
        15            1              5       -1979.260618    -1.788226
        15            2              5       -1979.260679    -1.788226
        15            3              5       -1979.260731    -1.788226
        15            4              5       -1979.260777    -1.788226
        15            5              5       -1979.260816    -1.788226
        15            6              5       -1979.260851    -1.788226
        15            7              5       -1979.260881    -1.788226
        15            8              5       -1979.260908    -1.788226
        15            9              5       -1979.260932    -1.788226
        15           10              5       -1979.260953    -1.788226
        15           11              5       -1979.260972    -1.788226
        15           12              5       -1979.260988    -1.788226
        15           13              5       -1979.261003    -1.788226
        15           14              5       -1979.261016    -1.788226
        15           15              5       -1979.261028    -1.788226
        15           16              5       -1979.261038    -1.788226
        15           17              5       -1979.261047    -1.788226
        15           18              5       -1979.261056    -1.788226
        15           19              5       -1979.261063    -1.788226
        15           20              5       -1979.261070    -1.788226
        15           21              5       -1979.261076    -1.788226
        15           22              5       -1979.261081    -1.788226
        15           23              5       -1979.261086    -1.788226
        15           24              5       -1979.261090    -1.788226
        15           25              5       -1979.261094    -1.788226
        15           26              5       -1979.261098    -1.788226
        15           27              5       -1979.261101    -1.788226
        15           28              5       -1979.261104    -1.788226
        15           29              5       -1979.261106    -1.788226
        15           30              5       -1979.261108    -1.788226
        15           31              5       -1979.261110    -1.788226
        15           32              5       -1979.261112    -1.788226
        15           33              5       -1979.261113    -1.788226
        15           34              5       -1979.261115    -1.788226
        15           35              5       -1979.261116    -1.788226
        15           36              5       -1979.261117    -1.788226
        15           37              5       -1979.261118    -1.788226
        15           38              5       -1979.261118    -1.788226
        15           39              5       -1979.261119    -1.788226
        15           40              5       -1979.261120    -1.788226
        15           41              5       -1979.261120    -1.788226
        15           42              5       -1979.261120    -1.788226
        15           43              5       -1979.261120    -1.788226
        15           44              5       -1979.261120    -1.788226
        16            0              4       -1979.261121    -9.715460
        16            1              4       -1979.262589    -9.715460
        16            2              4       -1979.263189    -9.715460
        16            3              4       -1979.263487    -9.715460
        16            4              4       -1979.263703    -9.715460
        16            5              4       -1979.263872    -9.715460
        16            6              4       -1979.264008    -9.715460
        16            7              4       -1979.264121    -9.715460
        16            8              4       -1979.264217    -9.715460
        16            9              4       -1979.264298    -9.715460
        16           10              4       -1979.264370    -9.715460
        16           11              4       -1979.264432    -9.715460
        17            0              6       -1979.263898    -1.847869
        17            1              6       -1979.263932    -1.847869
        17            2              6       -1979.263956    -1.847869
        17            3              6       -1979.263975    -1.847869
        17            4              6       -1979.263991    -1.847869
        17            5              6       -1979.264006    -1.847869
        17            6              6       -1979.264019    -1.847869
        17            7              6       -1979.264031    -1.847869
        17            8              6       -1979.264042    -1.847869
        17            9              6       -1979.264053    -1.847869
        17           10              6       -1979.264062    -1.847869
        17           11              6       -1979.264071    -1.847869
        17           12              6       -1979.264080    -1.847869
        17           13              6       -1979.264088    -1.847869
        17           14              6       -1979.264095    -1.847869
        17           15              6       -1979.264102    -1.847869
        17           16              6       -1979.264109    -1.847869
        17           17              6       -1979.264115    -1.847869
        17           18              6       -1979.264122    -1.847869
        17           19              6       -1979.264128    -1.847869
        17           20              6       -1979.264134    -1.847869
        17           21              6       -1979.264139    -1.847869
        17           22              6       -1979.264145    -1.847869
        17           23              6       -1979.264150    -1.847869
        17           24              6       -1979.264157    -1.847869
        17           25              6       -1979.264162    -1.847869
        17           26              6       -1979.264171    -1.847869
        17           27              6       -1979.264172    -1.847869
-----------------------------------------------------------------------
 State of the saddle   Barrier energy   Reaction energy   Elapsed time
-----------------------------------------------------------------------
           Connected         0.179546         -0.308817      22.895111
-----------------------------------------------------------------------
 0_0
-----------------------------------------------------------------------
 Push step   Relax step   Lanczos step   Potential energy   Eigenvalue
-----------------------------------------------------------------------
         0            0              0       -1979.443718   ----------
         1            0             19       -1979.402203     1.011399
         1            1             19       -1979.411968     1.011399
         2            0              3       -1979.308524     1.019810
         2            1              3       -1979.310730     1.019810
         3            0              4       -1979.124909     0.898518
         3            1              4       -1979.132510     0.898518
         4            0              3       -1978.866887     0.948665
         4            1              3       -1978.872168     0.948665
         5            0              8       -1978.508033     0.610201
         5            1              8       -1978.613857     0.610201
         6            0              7       -1978.203057     0.820425
         6            1              7       -1978.315987     0.820425
         7            0             11       -1977.810956     0.305468
         7            1             11       -1977.876544     0.305468
         8            0              8       -1977.291802     0.549170
         8            1              8       -1977.305207     0.549170
         9            0             10       -1977.278410    -0.401755
        10            0              7       -1977.225568    -1.104580
        11            0              4       -1977.171414    -1.753530
        12            0              3       -1977.125154    -1.811701
        12            1              3       -1977.738785    -1.811701
        12            2              3       -1978.195016    -1.811701
        12            3              3       -1978.529844    -1.811701
        12            4              3       -1978.768179    -1.811701
        12            5              3       -1978.931564    -1.811701
        12            6              3       -1979.040010    -1.811701
        12            7              3       -1979.107778    -1.811701
        12            8              3       -1979.143000    -1.811701
        13            0              5       -1979.102918    -1.113639
        14            0              4       -1979.075163    -1.016295
        14            1              4       -1979.083640    -1.016295
        14            2              4       -1979.092446    -1.016295
        14            3              4       -1979.097570    -1.016295
        14            4              4       -1979.100359    -1.016295
        15            0              5       -1979.084513    -1.041215
        15            1              5       -1979.085875    -1.041215
        15            2              5       -1979.087545    -1.041215
        15            3              5       -1979.088975    -1.041215
        15            4              5       -1979.089919    -1.041215
        15            5              5       -1979.090705    -1.041215
        15            6              5       -1979.091279    -1.041215
        15            7              5       -1979.091782    -1.041215
        15            8              5       -1979.092180    -1.041215
        15            9              5       -1979.092538    -1.041215
        16            0              5       -1979.089548    -1.185150
        16            1              5       -1979.090340    -1.185150
        16            2              5       -1979.091020    -1.185150
        16            3              5       -1979.091370    -1.185150
        16            4              5       -1979.091663    -1.185150
        16            5              5       -1979.091877    -1.185150
        16            6              5       -1979.092073    -1.185150
        16            7              5       -1979.092233    -1.185150
        16            8              5       -1979.092382    -1.185150
        16            9              5       -1979.092507    -1.185150
        16           10              5       -1979.092623    -1.185150
